District,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"1 - Raffles Place, Cecil, Marina Square, People's Park",Hotel,Waterfront,Seafood Restaurant,Cocktail Bar,Event Space,Japanese Restaurant,Plaza,Concert Hall,Spanish Restaurant,Performing Arts Venue
"2 - Anson, Tanjong Pagar",Japanese Restaurant,Coffee Shop,Hotel,Café,Food Court,Cocktail Bar,Bakery,Tapas Restaurant,Spanish Restaurant,Gym / Fitness Center
"3 - Bukit Merah, Queenstown, Tiong Bahru",Chinese Restaurant,Café,Food Court,Park,Bakery,Coffee Shop,Noodle House,Hainan Restaurant,Indian Restaurant,Hotel
"4 - Telok Blangah, Harbourfront",Chinese Restaurant,Scenic Lookout,Trail,Café,Food Court,Multiplex,Park,Clothing Store,Pool,Japanese Restaurant
"5 - Pasir Panjang, West Coast Terrace, Clementi",Coffee Shop,Food Court,Café,Bakery,Chinese Restaurant,Asian Restaurant,Indian Restaurant,Park,Dessert Shop,Sandwich Place
"6 - High Street, Beach Road",Hotel,Shopping Mall,Cocktail Bar,Event Space,Italian Restaurant,Café,Japanese Restaurant,Coffee Shop,Bakery,Beer Bar
"7 - Middle Road, Golden Mile",Hotel,Café,Thai Restaurant,Chinese Restaurant,Cocktail Bar,Indian Restaurant,Italian Restaurant,Vegetarian / Vegan Restaurant,Shopping Mall,Event Space
"8 - Little India, Farrer Park, Jalan Besar, Lavender Street",Indian Restaurant,Chinese Restaurant,Café,Bakery,Thai Restaurant,Coffee Shop,Hotel,Restaurant,Vietnamese Restaurant,Italian Restaurant
"9 - Orchard, Cairnhill, River Valley",Hotel,Shopping Mall,Japanese Restaurant,Clothing Store,Bakery,Yoga Studio,Wine Bar,Café,Cosmetics Shop,Coffee Shop
"10 - Ardmore, Bukit Timah, Holland Road, Tanglin",Bakery,Chinese Restaurant,Café,Ice Cream Shop,Food Court,Bar,Supermarket,Asian Restaurant,Thai Restaurant,Noodle House
"11 - Watten Estate, Novena, Thomson",Café,Chinese Restaurant,Flower Shop,Trail,Spa,Bakery,Thai Restaurant,Ice Cream Shop,Dessert Shop,Supermarket
"12 - Balestier, Toa Payoh, Serangoon",Chinese Restaurant,Food Court,Hotel,Asian Restaurant,Noodle House,Dessert Shop,Coffee Shop,Bakery,Seafood Restaurant,Supermarket
"13 - Macpherson, Braddell",Chinese Restaurant,Coffee Shop,Asian Restaurant,Bakery,Convenience Store,Noodle House,Snack Place,Market,Seafood Restaurant,Gym
"14 - Geylang, Eunos",Chinese Restaurant,Asian Restaurant,Food Court,Noodle House,Vegetarian / Vegan Restaurant,Multiplex,Japanese Restaurant,Italian Restaurant,Indian Restaurant,Ice Cream Shop
"15 - Katong, Joo Chiat, Amber Road",Chinese Restaurant,Asian Restaurant,Indian Restaurant,Italian Restaurant,Hotel,Coffee Shop,Noodle House,Bakery,Multiplex,Japanese Restaurant
"16 - Bedok, Upper East Coast, Eastwood, Kew Drive",Food Court,Coffee Shop,Noodle House,Asian Restaurant,Chinese Restaurant,Malay Restaurant,Café,Dessert Shop,Beach,Playground
"17 - Loyang, Changi",Coffee Shop,Supermarket,Café,Snack Place,Bus Station,Asian Restaurant,Thai Restaurant,Fast Food Restaurant,Chinese Restaurant,Resort
"18 - Simei, Tampines, Pasir Ris",Coffee Shop,Bakery,Café,Gym,Supermarket,Thai Restaurant,Fried Chicken Joint,Japanese Restaurant,Gym / Fitness Center,Clothing Store
"19 - Serangoon Garden, Hougang, Punggol",Coffee Shop,Food Court,Bus Station,Fast Food Restaurant,Asian Restaurant,Café,Gym,Basketball Court,Supermarket,Sandwich Place
"20 - Bishan, Ang Mo Kio",Chinese Restaurant,Coffee Shop,Food Court,Café,Japanese Restaurant,Thai Restaurant,Ice Cream Shop,Fast Food Restaurant,Supermarket,Spa
"21 - Upper Bukit Timah, Clementi Park, Ulu Pandan",Food Court,Chinese Restaurant,Korean Restaurant,Café,Thai Restaurant,Asian Restaurant,Shopping Mall,Coffee Shop,Bus Station,Hainan Restaurant
"22 - Jurong, Tuas",Japanese Restaurant,Asian Restaurant,Fast Food Restaurant,Café,Chinese Restaurant,Food Court,Coffee Shop,Dessert Shop,Exhibit,Shopping Mall
"23 - Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",Coffee Shop,Food Court,Fast Food Restaurant,Supermarket,Park,Asian Restaurant,Shopping Mall,Sushi Restaurant,Noodle House,Bus Station
"24 - Lim Chu Kang, Tengah",Farm,Garden Center,Spa,Café,Farmers Market,Chinese Restaurant,Flower Shop,Zoo Exhibit,Food,Food Court
"25 - Kranji, Woodgrove, Woodlands",Racetrack,Food Court,Grocery Store,Coffee Shop,Bakery,Gaming Cafe,Monument / Landmark,Food,Go Kart Track,Hainan Restaurant
"26 - Upper Thomson, Springleaf",Food Court,Chinese Restaurant,Bus Stop,Coffee Shop,Park,Seafood Restaurant,Asian Restaurant,Indian Restaurant,Shanghai Restaurant,Soup Place
"27 - Yishun, Sembawang",Coffee Shop,Chinese Restaurant,Indian Restaurant,Asian Restaurant,Fried Chicken Joint,Thai Restaurant,Café,Hainan Restaurant,Sushi Restaurant,Vegetarian / Vegan Restaurant
28 - Seletar Road,Food Court,Asian Restaurant,Coffee Shop,Fast Food Restaurant,Café,Supermarket,Dessert Shop,American Restaurant,Shopping Mall,Sandwich Place
